user_id,item_id,rating
1,176256,4
1,177199,3
1,176271,3
1,176256,4
1,176271,3
1,176434,5
1,176277,3
2,176258,3
2,176434,5
2,176285,4
2,176255,3
2,177962,5
2,176254,3
3,176259,4
3,177592,3
3,177592,4
3,177962,5
3,176484,3
3,176434,5
4,176285,4
4,177592,3
4,177407,3
4,176260,3
4,176260,4
4,176285,4
4,177828,5
5,177962,5
5,176283,3
5,176260,3
5,176316,2
5,176285,4
5,177828,5
5,177828,5
6,176255,3
6,176283,4
6,177828,5
6,176255,3
6,176316,2
6,176256,4
7,176271,4
7,176578,4
7,177091,3
7,177828,5
7,176255,3
7,177828,5
8,176259,3
8,177199,4
8,176260,3
8,176260,4
8,176271,4
8,176256,3
9,176484,3
9,176277,3
9,176255,3
9,177828,5
9,176277,4
9,177091,4
9,176256,4
10,176434,5
10,176259,3
10,177199,3
10,177592,4
10,176260,3
10,176259,3
11,176258,3
11,177828,5
11,176434,5
11,177592,3
11,176259,4
11,177592,3
12,176316,1
12,176277,4
12,176484,3
12,177091,3
12,176255,3
12,176255,4
12,176283,3
13,176260,4
13,176277,3
13,176260,3
13,176254,3
13,177962,5
13,177962,5
14,176285,3
14,176285,4
14,176258,3
14,176285,4
14,176283,3
14,176285,4
14,176259,4
15,176277,4
15,176260,4
15,176285,4
15,176260,4
15,176277,3
15,177962,5
15,176256,3
16,176283,3
16,177962,5
16,176259,3
16,176260,4
16,176254,3
16,176259,3
17,176434,5
17,177828,5
17,177828,5
17,176434,5
17,176260,3
17,176484,3
17,177407,3
18,176259,3
18,176434,5
18,176255,3
18,176271,4
18,176434,5
18,176255,3