item_id,user_id,bes1,like,dislike,group_id,proposer_id
176255,7,0,0,0,2,9
176256,7,0,1,0,2,7
176255,9,0,1,0,2,9
176256,9,0,0,0,2,7
176255,18,0,1,0,2,9
176256,18,0,0,0,2,7
176260,1,0,1,0,3,10
176277,1,0,0,0,3,4
176260,4,0,1,0,3,10
176277,4,0,0,0,3,4
176260,10,1,0,0,3,10
176277,10,1,0,0,3,4
176260,8,1,0,0,4,12
177407,8,0,1,0,4,8
176260,12,1,0,0,4,12
177407,12,0,0,0,4,8
176258,3,0,0,1,5,3
176434,3,1,0,0,5,11
176258,11,0,0,0,5,3
176434,11,0,1,0,5,11
176254,2,0,0,1,6,14
176271,2,1,0,0,6,2
176254,14,0,1,0,6,14
176271,14,0,0,0,6,2
176254,17,0,0,0,6,14
176271,17,0,1,0,6,2
176255,5,0,1,0,7,5
176316,5,0,0,1,7,16
176434,5,0,1,0,7,6
176484,5,1,0,0,7,16
176255,6,0,0,0,7,5
176316,6,0,1,0,7,16
176434,6,0,1,0,7,6
176484,6,0,0,1,7,16
176255,16,1,0,0,7,5
176316,16,0,0,1,7,16
176434,16,0,0,1,7,6
176484,16,0,0,0,7,16
176271,13,0,1,0,8,15
177199,13,0,1,0,8,15
177828,13,0,1,0,8,13
176271,15,1,0,0,8,15
177199,15,0,0,0,8,15
177828,15,1,0,0,8,13